"name","city","country","country_code","iata","icao","latitude","longitude","altitude","apid","uid","timezone","dst","tz_id","type","source","airport_id","x","y","elevation","tz_database_timezone"
Villa Garzón Airport,Villa Garzon,Colombia,,VGZ,SKVG,0.978767,-76.6056,1248,5929,,-5.0,U,,airport,OurAirports,7359,,,,America/Bogota
El Bagre Airport,El Bagre,Colombia,,EBG,SKEB,7.59647,-74.8089,180,5930,,-5.0,U,,airport,OurAirports,7360,,,,America/Bogota
Juan H White Airport,Caucasia,Colombia,,CAQ,SKCU,7.96847,-75.1985,174,5931,,-5.0,U,,airport,OurAirports,7361,,,,America/Bogota
Mandinga Airport,Condoto,Colombia,,COG,SKCD,5.08333,-76.7,213,5932,,-5.0,U,,airport,OurAirports,7362,,,,America/Bogota
Golfo de Morrosquillo Airport,Tolu,Colombia,,TLU,SKTL,9.50945,-75.5854,16,5933,,-5.0,U,,airport,OurAirports,7363,,,,America/Bogota
Cabo Frio Airport,Cabo Frio,Brazil,,CFB,SBCB,-22.921699523900003,-42.074298858599995,23,5934,,-3.0,S,,airport,OurAirports,7364,,,,America/Sao_Paulo
Westport Amtrak Station,Westport,United States,,"","",44.1871,-73.4519,1,5935,,-5.0,A,,station,User,7365,,,,America/New_York
Trenton Amtrak Station,Trenton,United States,,"","",40.21889,-74.75417,1,5936,,-5.0,A,,station,User,7366,,,,America/New_York
Presidente João Batista Figueiredo Airport,Sinop,Brazil,,OPS,SWSI,-11.885000228881836,-55.58610916137695,1227,5937,,-4.0,S,,airport,OurAirports,7367,,,,America/Campo_Grande
Gurupi Airport,Gurupi,Brazil,,GRP,SWGI,-11.73960018157959,-49.132198333740234,1148,5938,,-3.0,S,,airport,OurAirports,7368,,,,America/Fortaleza
Santana do Araguaia Airport,Santana do Araguaia,Brazil,,CMP,SNKE,-9.31997013092041,-50.32849884033203,597,5939,,-3.0,S,,airport,OurAirports,7369,,,,America/Belem
Breves Airport,Breves,Brazil,,BVS,SNVS,-1.6365300416946411,-50.443599700927734,98,5940,,-3.0,S,,airport,OurAirports,7370,,,,America/Belem
Soure Airport,Soure,Brazil,,SFK,SNSW,-0.6994310021400452,-48.520999908447266,43,5941,,-3.0,S,,airport,OurAirports,7371,,,,America/Belem
Parintins Airport,Parintins,Brazil,,PIN,SWPI,-2.6730198860168457,-56.777198791503906,87,5942,,-4.0,S,,airport,OurAirports,7372,,,,America/Boa_Vista
Barreiras Airport,Barreiras,Brazil,,BRA,SNBR,-12.078900337219238,-45.00899887084961,2447,5943,,-3.0,S,,airport,OurAirports,7373,,,,America/Fortaleza
